block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_69121,18282,1,0,CAHOKIA - TO 5TH & MO TC,111256,2_merged_3090849,3073041
b_69111,18281,1,0,MAIN ST STATE ST - TO 5TH & MO VIA FAIRVIEW HGTS STA,111251,3_merged_3090848,3072891
b_67113,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,3_merged_3090848,3070060
b_67113,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069458
b_67109,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069459
b_65166,18225,1,0,TO SHREWSBURY I-44 TC,111007,1_merged_3090847,3062781
b_67105,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069452
b_67116,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069453
b_67108,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069450
b_67101,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069451
b_67115,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069456
b_67111,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069457
b_67101,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069454
b_67104,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069455
b_65107,18222,1,0,TO CENTRAL WEST END TC,110996,3_merged_3090848,3062346
a_69175,18339,1,1,ROSEMONT - TO WASHINGTON PARK TC,111517,2_merged_3090846,3087373
a_69176,18339,1,1,ROSEMONT - TO FAIRVIEW HTS TC,111516,2_merged_3090846,3087372
b_65363,18226,1,0,TO CENTRAL WEST END TC,111010,3_merged_3090848,3063000
b_6541,18218,1,1,TO NORTH HANLEY  TC,110978,3_merged_3090848,3061890
b_62574,18248,1,0,TO SO COUNTY MALL,111074,3_merged_3090848,3065917
b_65362,18237,1,0,TO CENTRAL WEST END TC,111036,1_merged_3090847,3064182
b_65283,18242,1,1,TO CHESTERFIELD VALLEY,111052,1_merged_3090847,3064763
a_652,18289,1,0,TO CENTRAL WEST END TC,111318,1_merged_3090844,3080410
b_69261,18287,1,1,CASEYVILLE - TO FAIRVIEW HGTS TC,111270,1_merged_3090847,3073778
a_652,18289,1,1,TO MALLINCKRODT CENTER TC,111320,1_merged_3090844,3080417
b_65165,18225,1,1,TO RIVERVIEW TC,111009,1_merged_3090847,3062788
a_652,18289,1,1,TO MALLINCKRODT CENTER TC,111320,1_merged_3090844,3080416
b_69126,18264,1,0,MISSOURI AVE- ML KING,111159,2_merged_3090849,3076711
