stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.541893,2,,-90.052234,11517,NEAR SIDE 7245 WESTFIELD PLAZA EB,7245 WESTFIELD PLAZA EB,0,11517
38.536266,2,,-90.04166,11511,NEAR SIDE ILLINOIS ROUTE 13 @ JONATHON LEE WB,ILLINOIS ROUTE 13 @ JONATHON LEE WB,0,11511
38.547265,2,,-90.404083,5672,FAR SIDE LINDBERGH @ EDDIE AND PARK NB,LINDBERGH @ EDDIE AND PARK NB,0,5672
38.54195,2,,-90.047735,11513,NEAR SIDE ILLINOIS ROUTE 13 @ NORTH BELT WEST WB,ILLINOIS ROUTE 13 @ NORTH BELT WEST WB,0,11513
38.537743,2,,-90.044375,11512,NEAR SIDE ILLINOIS ROUTE 13 @ BIRCH WB,ILLINOIS ROUTE 13 @ BIRCH WB,0,11512
38.6839,2,,-90.225184,16159,NEAR SIDE TAYLOR @ I-70 OVERPASS SB,TAYLOR @ I-70 OVERPASS SB,0,16159
38.651695,1,,-90.240659,13851,NEAR SIDE PAGE @ WHITTIER EB,PAGE @ WHITTIER EB,0,13851
38.552074,2,,-90.406911,5673,FAR SIDE LINDBERGH @ WATSON NB,LINDBERGH @ WATSON NB,0,5673
38.550824,2,,-90.036436,12228,NEAR SIDE MAIN @ 60TH STREET WB,MAIN @ 60TH STREET WB,0,12228
38.592915,2,,-90.132578,12674,FAR SIDE BOND @ 36TH STREET WB,BOND @ 36TH STREET WB,0,12674
38.662081,2,,-90.332211,5973,NEAR SIDE NORTH HANLEY @ AMHERST NB,NORTH HANLEY @ AMHERST NB,0,5973
38.55711,1,,-90.406858,5674,FAR SIDE LINDBERGH @ DEANE COURT NB,LINDBERGH @ DEANE COURT NB,0,5674
38.677856,2,,-90.259104,8627,FAR SIDE UNION @ LEXINGTON NB,UNION @ LEXINGTON NB,0,8627
38.636609,1,,-90.251681,5465,FAR SIDE FOREST PARK @ BOYLE EB,FOREST PARK @ BOYLE EB,0,5465
38.676304,1,,-90.260255,16154,FAR SIDE UNION @ ASHLAND SB,UNION @ ASHLAND SB,0,16154
38.596403,2,,-90.136722,12677,MID-BLOCK 3109 BOND WB,3109 BOND WB,0,12677
38.680575,2,,-90.516837,16156,NEAR SIDE OLIVE @ EAGLE MANOR EB,OLIVE @ EAGLE MANOR EB,0,16156
38.727222,2,,-90.244479,8283,FAR SIDE JENNINGS STATION ROAD @ HALLS FERRY WB,JENNINGS STATION ROAD @ HALLS FERRY WB,0,8283
38.627458,2,,-90.133323,16330,FAR SIDE 18TH STREET @ WEIMAN SB,18TH STREET @ WEIMAN SB,0,16330
38.625779,2,,-90.134411,16331,NEAR SIDE 18TH STREET @ BAUGH SB,18TH STREET @ BAUGH SB,0,16331
38.656305,2,,-90.262798,2299,NEAR SIDE KINGSHIGHWAY @ CABANNE SB,KINGSHIGHWAY @ CABANNE SB,0,2299
38.795397,2,,-90.302153,3614,FAR SIDE PARKER @ WATERFORD WB,PARKER @ WATERFORD WB,0,3614
38.658305,1,,-90.227067,7244,NEAR SIDE ST. LOUIS @ VANDEVENTER EB,ST. LOUIS @ VANDEVENTER EB,0,7244
38.600259,1,,-90.21335,16337,NEAR SIDE LYNCH @ 12TH STREET WB,LYNCH @ 12TH STREET WB,0,16337
38.624715,2,,-90.15088,13086,NEAR SIDE MARTIN LUTHER KING @ 10TH STREET SB,MARTIN LUTHER KING @ 10TH STREET SB,0,13086
38.713637,1,,-90.230021,6640,FAR SIDE BROADWAY @ PELHAM NB,BROADWAY @ PELHAM NB,0,6640
38.668315,1,,-90.257846,2290,NEAR SIDE KINGSHIGHWAY @ HIGHLAND SB,KINGSHIGHWAY @ HIGHLAND SB,0,2290
38.658242,1,,-90.262475,2297,NEAR SIDE KINGSHIGHWAY @ VERNON SB,KINGSHIGHWAY @ VERNON SB,0,2297
38.560297,2,,-90.046299,14877,FAR SIDE MAIN @ 75TH STREET SB,MAIN @ 75TH STREET SB,0,14877
38.662864,1,,-90.261717,2295,FAR SIDE KINGSHIGHWAY @ DR ML KING SB,KINGSHIGHWAY @ DR ML KING SB,0,2295
38.663359,1,,-90.261474,2294,NEAR SIDE KINGSHIGHWAY @ DR ML KING SB,KINGSHIGHWAY @ DR ML KING SB,0,2294
38.581227,2,,-90.278591,880,FAR SIDE KINGSHIGHWAY @ EICHELBERGER NB,KINGSHIGHWAY @ EICHELBERGER NB,0,880
38.590923,2,,-90.130204,12673,FAR SIDE BOND @ 37TH STREET WB,BOND @ 37TH STREET WB,0,12673
38.691994,1,,-90.249421,15138,NEAR SIDE LILLIAN @ EMERSON NB,LILLIAN @ EMERSON NB,0,15138
38.716494,2,,-90.318999,5902,MID-BLOCK 4215 NORTH HANLEY SB,4215 NORTH HANLEY SB,0,5902
38.60885,1,,-90.21078,9045,NEAR SIDE GRAVOIS @ 13TH STREET EB,GRAVOIS @ 13TH STREET EB,0,9045
38.685462,2,,-90.398707,2561,FAR SIDE BAUR @ RESEARCH EB,BAUR @ RESEARCH EB,0,2561
38.684444,2,,-90.403695,2560,FAR SIDE BAUR @ LINDBERGH EB,BAUR @ LINDBERGH EB,0,2560
38.751159,2,,-90.348708,16147,NEAR SIDE MCDONNELL @ GENAIRE NB,MCDONNELL @ GENAIRE NB,0,16147
38.589961,2,,-89.902589,15290,FAR SIDE SMILEY @ 3RD STREET SB,SMILEY @ 3RD STREET SB,0,15290
38.689972,1,,-90.392446,2564,NEAR SIDE ASHBY @ TRENTON SB,ASHBY @ TRENTON SB,0,2564
38.590739,1,,-90.266054,8690,MID-BLOCK 4365 CHIPPEWA WB,4365 CHIPPEWA WB,0,8690
38.555326,2,,-90.020197,11429,FAR SIDE FRANK SCOTT PARKWAY @ MOUNT PLEASANT SB,FRANK SCOTT PARKWAY @ MOUNT PLEASANT SB,0,11429
38.757848,2,,-90.222361,6811,NEAR SIDE BELLEFONTAINE @ SHEPLEY NB,BELLEFONTAINE @ SHEPLEY NB,0,6811
38.643366,2,,-90.257641,8008,FAR SIDE TAYLOR @ MARYLAND SB,TAYLOR @ MARYLAND SB,0,8008
38.727304,1,,-90.272391,8288,NEAR SIDE LUCAS-HUNT @ KINAMORE SB,LUCAS-HUNT @ KINAMORE SB,0,8288
38.743875,2,,-90.315534,3654,NEAR SIDE DADE @ CARSON NB,DADE @ CARSON NB,0,3654
38.671271,1,,-90.255203,2368,NEAR SIDE KINGSHIGHWAY @ ST. LOUIS NB,KINGSHIGHWAY @ ST. LOUIS NB,0,2368
38.797508,2,,-90.237911,6724,FAR SIDE PARKER @ RANCH EB,PARKER @ RANCH EB,0,6724
38.668212,1,,-90.257558,2365,NEAR SIDE KINGSHIGHWAY @ HIGHLAND NB,KINGSHIGHWAY @ HIGHLAND NB,0,2365
38.535641,2,,-89.983452,11425,FAR SIDE ILLINOIS @ ALEXA NB,ILLINOIS @ ALEXA NB,0,11425
