index,minority,low_income,no_car_hh,lep,young,senior,ada_indiv,POP21,C000,CE01,CE02,CE03,CE02_CNS17,CE02_CNS18
12632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.82598617906575,43.914851653215294,105.74548215863996,182.1656523672105,0.0,0.0
12633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0304305878037,53.06325632458384,123.37887432268283,215.58829994053707,0.0,0.0
12634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.6245866577069,50.436572712440054,34.84010623795438,62.3479077073125,0.0,0.0
12635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.23305031276976,20.833365349466494,90.32218141619163,221.07750354711172,0.0,0.0
12636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.77050303445316,29.483897373864473,86.06616723722192,147.2204384233668,0.0,0.0
12637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.56658486060655,12.187702934399262,25.01078197505209,86.3680999511552,0.0,0.0
12638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.76668336304834,19.982346490868537,45.72739689184212,124.05693998033769,0.0,0.0
12639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.48560047001118,15.895821297414733,55.969800955602174,150.6199782169943,0.0,0.0
12640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.00803742822097,17.922858538459163,33.18733369715102,87.89784519261079,0.0,0.0
12641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.023266048437161,0.4461565773230054,1.888581943061999,5.688527528052157,0.0,0.0
12642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.944550335562986,0.296548334252699,1.4220136413846005,4.225988359925687,0.0,0.0
12643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.156906622508544,0.4293108748688707,1.9748300243968053,5.7527657232428675,0.0,0.0
12644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.314185537980893,0.12179923884109962,0.5602764986690583,1.632109800470735,0.0,0.0
12645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12710,0.3991409365659118,0.06170869634627949,0.11564306874342141,0.05131936691059712,1.201714647725326,1.364804492773763,0.5423221357538296,7.343334865207259,0.25652929010626346,0.0,0.12826464505313173,0.12826464505313173,0.0,0.0
12711,9.82313625253455,1.5186939665750985,2.846056409802153,1.2630053381491766,29.575033878598646,33.58878847640846,13.346925219221873,180.72458202243672,39.5290124492874,2.5893084886331863,4.483013012933952,32.45669094772026,0.0,0.0
12712,11.205615624157218,1.7327229518748437,3.2464616910547113,1.4406926452395334,33.73580002986303,38.31400779321743,15.224721688921562,206.14932128382645,9.042278010536302,0.28576626824649404,0.34101983582891143,8.415491906460897,0.0,0.0
12713,21.777015708177842,10.42270595923091,4.789614523629401,1.4507171238388072,31.62733054390624,26.694635410146105,19.718380854907334,174.24885440616842,4.721043430323747,0.2219562903577291,1.9214646793641523,2.5776224606018663,0.0,0.0
12714,30.879794490231607,16.567272874059782,4.15878678547525,1.470140347554528,32.450765774923326,26.089089734713454,19.60401539207285,174.48409223542166,1.544209332679444,0.22277392826392345,0.6154950797056233,0.705940324709897,0.0,0.0010146375058646627
12715,13.774280586689233,7.186756210586449,3.016671039583349,0.8165244385781102,17.341088754314928,12.844273354747989,11.940894418494482,91.92809282211994,1.796293832437246,0.8539968610650941,0.26156379564350507,0.680733175728647,0.0,0.0
12716,21.311549970050272,11.403195932943982,3.045223591818022,1.0388363996472105,22.827671270298197,18.187155970350993,14.011313393123928,122.54393383363181,2.0359307395121617,0.9977952568983052,0.6573157660000073,0.38081971661384917,0.0,0.0
12717,25.289159145939845,13.261780966736252,2.5699873040906422,1.1082612855248353,24.831884974970613,20.691814002433922,13.628754416774058,133.48194926115693,4.1578447289611615,0.8662370350718925,2.3164199024227328,0.9751877914665362,0.0,0.0
12718,24.986773279841792,1.5686763494071077,1.0591688434278934,1.4105312746010255,29.188584930039397,23.978338483794364,6.107204606674976,133.00134476758836,16.840096583650194,3.013490967600561,7.090566982589555,6.736038633460078,0.0,0.0
12719,20.750783942913163,1.302739799106656,0.8796087267005691,1.1714049427735123,24.24026554766314,19.913308357773168,5.071854691638633,110.45372439568578,16.917470450433953,1.7436661887345557,5.218642013376382,9.955162248323015,0.18436270183940962,0.0
12720,17.291313132687474,1.085553290841366,0.7329645939867471,0.9761139495451309,20.199045161726847,16.593457445718023,4.2262994920037595,92.03941115919297,14.326094907211921,2.1542999860469054,4.524029970698501,7.647764950466514,0.0,0.0
12721,17.291313132687474,1.085553290841366,0.7329645939867471,0.9761139495451309,20.199045161726847,16.593457445718023,4.2262994920037595,92.03941115919297,14.326094907211921,2.1542999860469054,4.524029970698501,7.647764950466514,0.0,0.0
12722,11.9637495558014,0.7510874160592806,0.5071335397396849,0.6753670320275484,13.975590848817331,11.480907645477576,2.9241497324202976,63.68148306159758,109.43151272252793,39.57430687496233,21.05244297040208,48.80476287716352,0.0,3.5277333755934865
12723,0.895608835379076,0.05622656365608549,0.037964124607379676,0.05055811960843897,1.0462157023150194,0.8594631873144497,0.21890247067709961,4.767209361412391,298.9968007905895,114.2630871708145,53.859693071705514,130.87402054806947,0.0,10.570593967344074
12724,0.01280850366281085,0.0008041213061854345,0.0005429419740853872,0.0007230543453888851,0.014962400018664692,0.012291568537405928,0.00313062241763083,0.06817799931729362,37.40843920829616,5.319567816604881,9.526073974658006,22.56279741703327,0.0,0.1511748055628617
12725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.93919507376914,5.506674515233814,14.075817281437912,22.356703277097417,0.0,0.0
12726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.426262975634009,1.7711641797849378,4.666877045147614,5.988221750701456,0.0,0.0
12727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
